,gt_path,recon_path,recon_step_idx,recon_timestep,snr,bpp,psnr,lpips
32,data/imagenet_subset/img_0016.png,results/SD-1.5-base/imagenet_subset/040/img_0016.png,121,40,5.0941619873046875,0.070587158203125,30.86915017232705,0.07322884351015091
33,data/imagenet_subset/img_0016.png,results/SD-1.5-base/imagenet_subset/030/img_0016.png,131,30,5.9767746925354,0.080780029296875,31.11737940807813,0.06842134147882462
34,data/imagenet_subset/img_0016.png,results/SD-1.5-base/imagenet_subset/020/img_0016.png,141,20,7.437664031982422,0.096954345703125,31.413956720918573,0.06507442891597748
35,data/imagenet_subset/img_0016.png,results/SD-1.5-base/imagenet_subset/010/img_0016.png,151,10,10.687459945678711,0.128204345703125,31.792837487914536,0.059472665190696716
36,data/imagenet_subset/img_0042.png,results/SD-1.5-base/imagenet_subset/897/img_0042.png,3,897,0.12235153466463089,0.001739501953125,12.761933110088153,0.6787311434745789
37,data/imagenet_subset/img_0042.png,results/SD-1.5-base/imagenet_subset/780/img_0042.png,7,780,0.21504519879817963,0.002532958984375,18.18437018167676,0.44258666038513184
38,data/imagenet_subset/img_0042.png,results/SD-1.5-base/imagenet_subset/688/img_0042.png,11,688,0.31578636169433594,0.00323486328125,20.516125253592563,0.3695465326309204
39,data/imagenet_subset/img_0042.png,results/SD-1.5-base/imagenet_subset/591/img_0042.png,16,591,0.45361724495887756,0.00439453125,22.727881405408734,0.2374645471572876
40,data/imagenet_subset/img_0042.png,results/SD-1.5-base/imagenet_subset/498/img_0042.png,23,498,0.62415611743927,0.006103515625,25.069382594809134,0.19083566963672638
41,data/imagenet_subset/img_0042.png,results/SD-1.5-base/imagenet_subset/390/img_0042.png,34,390,0.8903988003730774,0.00909423828125,26.507703915078874,0.15883874893188477
42,data/imagenet_subset/img_0042.png,results/SD-1.5-base/imagenet_subset/296/img_0042.png,45,296,1.2219622135162354,0.013092041015625,28.835163256020916,0.11803753674030304
43,data/imagenet_subset/img_0042.png,results/SD-1.5-base/imagenet_subset/200/img_0042.png,61,200,1.756588339805603,0.02056884765625,30.13597040385894,0.09522078186273575
44,data/imagenet_subset/img_0042.png,results/SD-1.5-base/imagenet_subset/099/img_0042.png,89,99,2.9462459087371826,0.037567138671875,31.758741354220007,0.06239558011293411
45,data/imagenet_subset/img_0042.png,results/SD-1.5-base/imagenet_subset/090/img_0042.png,93,90,3.1350831985473633,0.040069580078125,32.07817482996886,0.06040922552347183
46,data/imagenet_subset/img_0042.png,results/SD-1.5-base/imagenet_subset/080/img_0042.png,97,80,3.3790369033813477,0.043365478515625,32.241073077292725,0.058825887739658356
47,data/imagenet_subset/img_0042.png,results/SD-1.5-base/imagenet_subset/070/img_0042.png,102,70,3.670657157897949,0.047088623046875,32.439306801775764,0.055594004690647125
48,data/imagenet_subset/img_0042.png,results/SD-1.5-base/imagenet_subset/060/img_0042.png,107,60,4.028669834136963,0.051727294921875,32.62037243270559,0.05514448508620262
49,data/imagenet_subset/img_0042.png,results/SD-1.5-base/imagenet_subset/050/img_0042.png,112,50,4.484228134155273,0.057525634765625,32.82959804099377,0.05219853296875954
50,data/imagenet_subset/img_0042.png,results/SD-1.5-base/imagenet_subset/040/img_0042.png,121,40,5.0941619873046875,0.065032958984375,33.191256248476364,0.04971083253622055
51,data/imagenet_subset/img_0042.png,results/SD-1.5-base/imagenet_subset/030/img_0042.png,131,30,5.9767746925354,0.0751953125,33.42769150404301,0.04745034500956535
52,data/imagenet_subset/img_0042.png,results/SD-1.5-base/imagenet_subset/020/img_0042.png,141,20,7.437664031982422,0.090606689453125,33.77684440915854,0.043752383440732956
53,data/imagenet_subset/img_0042.png,results/SD-1.5-base/imagenet_subset/010/img_0042.png,151,10,10.687459945678711,0.120697021484375,34.327815866254866,0.039111293852329254
